amco-depar,naam_Naam,naam_Naa_1,uri
We,Westereems,Ems Occidental,http://www.gemeentegeschiedenis.nl/departement/We
MS,Monden van de Schelde,Bouches de l'Escaut,http://www.gemeentegeschiedenis.nl/departement/MS
MM,Monden van de Maas,Bouches de la Meuse,http://www.gemeentegeschiedenis.nl/departement/MM
Fr,Friesland,Frise,http://www.gemeentegeschiedenis.nl/departement/Fr
TN,Twee Nethen,Deux Nèthes,http://www.gemeentegeschiedenis.nl/departement/TN
Zz,Zuiderzee,Zuyderzée,http://www.gemeentegeschiedenis.nl/departement/Zz
MR,Monden van de Rijn,Bouches du Rhin,http://www.gemeentegeschiedenis.nl/departement/MR
Sc,Schelde,Escaut,http://www.gemeentegeschiedenis.nl/departement/Sc
Ro,Roer,Roer,http://www.gemeentegeschiedenis.nl/departement/Ro
MY,Monden van de Ijssel,Bouches de l'Yssel,http://www.gemeentegeschiedenis.nl/departement/MY
BY,Boven Ijssel,Yssel Supérieur,http://www.gemeentegeschiedenis.nl/departement/BY
NM,Nedermaas,Meuse Inférieure,http://www.gemeentegeschiedenis.nl/departement/NM
